workunit,authoritative_branch,authoritative_head,completed,tested,qualified,admission_scope,evidence_class,dependencies,next_gate,production_effect
RG03,work/animo-rg03-post-g5-gate-reconciliation,820ba9a9bbc90aceb892ac9ac36ecf7fb782b136,True,True,True,Prior post-G5 governance checkpoint,GOVERNANCE_RECONCILIATION,RG02 and post-G5 streams,RG04 delta reconciliation,NONE
PREP02R,work/animo-prep02r-historical-reference-recovery,60f3c57a3299a1890b4cdd66befd5a120a306383,False,True,False,Historical reference recovery and B2 admission preparation,B2_ACQUISITION_PLUS_BUILD_CONTRACT_RECOVERY,R6 historical track plus supplied native/project artifacts,Native Windows diagnostic capture plus actual archival request; G6H or later G6U eligibility,NONE; modern native rebuild is not historical B2
STATEQ02,work/animo-stateq02-restricted-core-executable-split-run,ada93a409aa054f9aebac32728e79f80468215a7,True,True,True,Restricted-core executable checkpoint semantics only,EXECUTABLE_RESTRICTED_PROFILE_STATE_NON_B2,STATEQ01; frozen B0; external hydrology and crop profile,GSTATE profile-scoped admission,NONE; canonical STATE remains pending
MASSQ02,work/animo-massq02-residual-causality-typed-events,56a11b524d03c33ee4ab9b1cd13b2cd523d543fc,True,True,True,Residual causality and candidate typed-event projection only,B1_PLUS_SOURCE_CAUSALITY_MASS_READINESS_NON_B2,MASSQ01; PREP06; source/runtime probes,B3 causal intake plus GMASS admission work,NONE; canonical MASS remains pending
B3I03,work/animo-b3i03-massq02-causal-intake,6a015587807130b4ce12c9f1518c1ddac4e5d624,True,True,True,Incremental MASSQ02 causal intake and TCD reservation only,GOVERNANCE_INCREMENTAL_CAUSAL_INTAKE,MASSQ02; B3I02; B3Q01,Canonical append and per-finding atomization,NONE; reserved one new TCD and admitted nothing
B3I03-REGISTER,work/animo-b3i03-canonical-register-append,814ea660d367494432beb63ea78298d1f6cd73d7,True,True,True,Append-only canonical identity integration through TCD-042,GOVERNANCE_APPEND_ONLY_IDENTITY_ROUTING,B3I03 reservation authority,TCD-042 atomization and later process-scoped readiness,NONE; register presence is not admission
B3B01,work/animo-b3b01-tcd015-class-b-admission-readiness,b982242949aecab32b9067cf7910ad75abfc2b19,True,True,True,TCD-015 Class B admission readiness only,B3_READINESS_NON_ADMISSION,SYNQ01; PREP01; B3Q01; natural B1 activation,Valid route plus genuinely independent second-line review,NONE; source correction not implemented
B3A02,work/animo-b3a02-tcd017-class-a-admission-readiness,6e0f21b11d09cd9e0c804f83a209171403533473,True,True,True,TCD-017 Class A admission readiness only,B3_READINESS_NON_ADMISSION,PREP01/02/06; SYNQ01; B3Q01,Valid route plus genuinely independent second-line review,NONE; ledger-only candidate not patched
B3A03,work/animo-b3a03-tcd018-class-a-admission-readiness,8eaaca34e4f0d906c2d8245f0df232586efe8ff3,True,False,True,TCD-018 Class A admission readiness only,B3_READINESS_NON_ADMISSION,Hydro_detailed; Outbal_calc; PREP06; MASSQ01; SYNQ01,Valid route plus genuinely independent second-line review,NONE; accounting-only candidate not patched
B3A03R,work/animo-b3a03r-tcd018-second-line-review,0876e6e1b6ce33ee5e7b812ab4107f54760d6b27,True,True,True,TCD-018 technical second-line recheck and independent-review handoff,B3_TECHNICAL_REVIEW_NOT_INDEPENDENT,B3A03 review packet,Genuinely separate independent review,NONE; explicitly fails reviewer-independence gate
B3A01,work/animo-b3a01-tcd027-class-a-readiness,b2bac82512fef0fa232e759f0c68b472567c11d5,True,True,True,TCD-027 Class A admission readiness only,B3_READINESS_NON_ADMISSION,B3Q01; PREP06; B1 non-interference,Valid route plus independent second-line review,NONE; readiness complete not admitted
UBQ01,work/animo-ubq01-tcd042-upper-boundary-transaction,f3500990e7eaa1f5c02c6093186eb1ac369c5a42,False,False,False,TCD-042 source theory runtime atomization,IN_PROGRESS_SCIENTIFIC_QUALIFICATION,B3I03 register; MASSQ02 R016,Atomize A versus C versus possible B semantics before readiness,NONE; persisted checkpoint only
