gate,track,state,owner,qualified_basis,remaining_dependencies,parallel_readiness_allowed,effect
G0-G5,shared governance/evidence attachment,QUALIFIED_INHERITED,RG04 plus GOV02,"RG04 qualified predecessor; GOV02 claim-scoped evidence DAG retained",none within RG05,yes,No evidence-strength promotion and no admission
G6H,historical fidelity,HISTORICAL_B2_NOT_PASSED_INTERNAL_RECOVERY_STOPPED,PREP02R,"latest PREP02R stops further internal archaeology after extracting available build/runtime diagnostic evidence; no provenance-qualified historical executable or output recovered","actual provenance-qualified historical artifact/output and claim-scoped comparison if later obtained",yes,Historical behaviour remains UNKNOWN where B2 is absent
G6U,historical uncertainty eligibility,NOT_ELIGIBLE_ACQUISITION_NOT_EXHAUSTED_EXTERNAL_ACTION_UNSENT,PREP02R plus GOV02,"bounded acquisition policy exists but the prepared external WUR archival/provenance action remains unsent","execute the external archival/provenance action and document a bounded outcome before considering B2_REFERENCE_UNAVAILABLE_AFTER_REASONABLE_ACQUISITION_EFFORT",yes,Internal recovery stop does not activate the no-B2 admission route
G7,scientific process-scoped B3,NO_ATOMIC_SCIENTIFIC_ADMISSIONS,B3Q01 plus atomic readiness owners,"TCD-015/017/018/026/027 readiness evidence is qualified; TCD-042-B1 readiness is qualified; additional atomic work is active","valid claim-scoped route plus genuinely independent review where required; open scientific/numerical/state blockers must close per atom",yes,Readiness and qualification remain distinct from admission
GSTATE,canonical persistent state,RESTRICTED_CORE_EXECUTABLE_SPLIT_RUN_QUALIFIED_ADMISSION_PENDING,STATEQ02,"exact bitwise continuous-versus-split restricted-core CNP profile at five accepted boundaries with up to 833 post-restore records","owning profile-scoped canonical state admission; excluded TCD-016/TCD-040/internal-crop/stable-DOM/PCLASS/GHG/macropore state remains separate",yes,Strong executable evidence but no whole-model canonical state claim
GTIME,canonical time,CONCRETE_CANDIDATE_QUALIFIED_CANONICAL_ADMISSION_NOT_PERFORMED,TIME02,"exact rational civil-day candidate and 17/17 exact executable vectors","owning canonical time admission plus real producer-specific binding for claimed profile",yes,No time admission performed by RG05
GMASS,canonical mass,TYPED_EVENT_AND_RESIDUAL_CAUSALITY_QUALIFIED_ADMISSION_PENDING,MASSQ02,"23 nonzero residual records classified with zero unexplained; candidate typed-event projection qualified","governed discrepancy dispositions; implemented/admitted runtime journal; nested crop and active-feature closure; declared C scope",yes,No canonical mass admission performed
GEX,external exchange,SYNTHETIC_CONTRACT_FIXTURE_QUALIFIED_REAL_ADAPTER_BLOCKED,ARCH05 plus ARCH07 plus TIMEQ02,"candidate immutable exchange frames and synthetic adapter transaction fixtures qualified","real SWAP/WATBAL and external-crop producer adapter qualification plus canonical state/time binding",yes,No concrete adapter or canonical exchange admission
GARCH,architecture readiness,QUALIFIED_CANDIDATE_ARCHITECTURE_REVALIDATED,ARCHG02,"candidate architecture revalidated against temporal semantics and time contract","admitted downstream state/time/mass/exchange/scientific gates before composition",yes,Design authority only
TCD042_PARENT,atomic child composition,WAITING_ON_CHILDREN,B3I05,"parent TCD-042 remains canonical tail and is atomized into TCD-042-B1 and TCD-042-E1","B1 route/review and E1 numerical-policy qualification plus route/review; parent disposition only after both applicable child gates",yes,No TCD-043 and no parent admission
B4_PROFILE,compositional canonical baseline,NOT_ADMITTED,RG governance,"composition rule inherited","every included G7 atom and applicable GSTATE/GTIME/GMASS/GEX gate admitted",no,Readiness cannot be promoted by composition
PRODUCTION,production migration,NOT_ADMITTED,future production governance,"RG05 contains governance artifacts only","B4-qualified declared scope plus separately qualified production implementation",no,No source correction or production migration
