gate,track,state,owner,qualified_basis,remaining_dependencies,parallel_readiness_allowed,effect
G0-G5,shared governance/evidence attachment,QUALIFIED_INHERITED,RG03,"RG03 and inherited prior governance/provenance",none within RG04,yes,No evidence-strength promotion
G6H,historical fidelity,PARTIAL_RECOVERY_HISTORICAL_B2_NOT_PASSED,PREP02R,"Intel project/build contract recovered; modern native rebuild classified; frozen Ruurlo input and fail-closed genuine-Windows capture handoff are ready; historical behavioural oracle and native capture remain absent","execute genuine Windows diagnostic capture without relabelling it B2; obtain genuine historical artifact/output plus provenance-qualified comparison",yes,Windows diagnostic readiness improved but modern native executable cannot substitute for B2
G6U,historical uncertainty eligibility,NOT_ELIGIBLE_ACQUISITION_NOT_EXHAUSTED,PREP02R + GOV02,"bounded acquisition machinery and archival request are prepared","actual external archival request/action plus documented bounded outcome",yes,Unsatisfied because external_request_sent=false
G7,scientific process-scoped B3,NO_ATOMIC_SCIENTIFIC_ADMISSIONS_YET,B3Q01 + current readiness owners,"TCD-015/017/018/027 readiness dossiers complete; TCD-042 canonical and atomization opened","valid claim-scoped route; genuinely independent second-line review where required; remaining process-specific blockers",yes,Readiness and register identity remain non-admission
GSTATE,canonical persistent state,RESTRICTED_CORE_EXECUTABLE_SPLIT_RUN_QUALIFIED_ADMISSION_PENDING,STATEQ02,"exact continuous-versus-split execution over restricted CNP external-crop profile; five accepted boundaries; 833-record exact remainder","profile-scoped canonical admission record; excluded feature/state atoms remain excluded or must be separately qualified",yes,Strong executable state evidence but no whole-model or production checkpoint claim
GTIME,canonical time,CONCRETE_CANDIDATE_QUALIFIED_ADMISSION_BLOCKED,TIME02 + TIMEQ01,"exact rational time candidate and synthetic transaction scheduler inherited from RG03","canonical state/exchange binding and real producer mapping for claimed profile",yes,RG04 does not promote canonical TIME
GMASS,canonical mass,TYPED_EVENT_AND_RESIDUAL_CAUSALITY_QUALIFIED_ADMISSION_PENDING,MASSQ02,"all current nonzero residuals causally classified; candidate typed-owner event projection qualified; observer non-interference inherited","governed causal-finding dispositions; implemented/admitted runtime event journal; nested crop closure; active feature closure; whole-system C scope",yes,Unexplained-residual blocker closed for current evidence but canonical MASS remains unadmitted
GEX,external exchange,SYNTHETIC_CONTRACT_FIXTURE_QUALIFIED_REAL_ADAPTER_BLOCKED,ARCH05 + ARCH07 + TIMEQ02,"inherited synthetic external-owner contracts","real producer-specific adapter qualification and state/time binding",yes,No new adapter admission
GARCH,architecture readiness,QUALIFIED_CANDIDATE_ARCHITECTURE_REVALIDATED,ARCHG01 + ARCHG02,"inherited candidate architecture and temporal revalidation","admitted downstream gates before B4/production composition",yes,Design readiness only
B4(profile),compositional canonical baseline,NOT_ADMITTED,RG governance,"composition rule inherited","every included G7 atom plus applicable GSTATE GTIME GMASS GEX admitted",no,Readiness cannot be promoted by composition
PRODUCTION,production migration,NOT_ADMITTED,future production governance,"no production change in RG04","B4-qualified declared scope plus production implementation qualification",no,RG04 is governance-only
